"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"2.102.964.354","BAET","Onbepaald","Indéterminé","****","Commerce ambulant","Commerce ambulant","Marches publics","Marches publics","","","",
"2.102.964.651","BAET",,,"1070","Anderlecht","Anderlecht","Sylvain Dupuislaan","Boulevard Sylvain Dupuis","433","","",
"2.102.964.750","BAET",,,"1160","Oudergem","Auderghem","Vorstlaan","Boulevard du Souverain","240","","",
"2.102.965.047","BAET",,,"1500","Halle","Halle","Basiliekstraat","Basiliekstraat","120","","",
"2.102.965.146","BAET",,,"1050","Elsene","Ixelles","Boondaalse Steenweg","Chaussée de Boondael","423","","",
"2.102.965.245","BAET",,,"1090","Jette","Jette","Jetse Laan","Avenue de Jette","214","","",
"2.102.965.344","BAET",,,"1030","Schaarbeek","Schaerbeek","Olmstraat","Rue de l'Orme","14","","",
"2.102.965.443","BAET",,,"1060","Sint-Gillis (bij-Brussel)","Saint-Gilles","Gulden-Vlieslaan","Avenue de la Toison d'Or","40","","",
"2.102.965.542","BAET",,,"1190","Vorst","Forest","Rodenbachstraat","Rue Rodenbach","133","","",
"2.102.965.641","BAET",,,"1800","Vilvoorde","Vilvoorde","Portaelsplein","Portaelsplein","68","","",
"2.102.965.740","BAET",,,"1200","Sint-Lambrechts-Woluwe","Woluwe-Saint-Lambert","Sint-Lambertusstraat","Rue Saint-Lambert","202","","",
"2.102.965.839","BAET",,,"9300","Aalst","Aalst","Grote Markt","Grote Markt","25","","AALST BIZZ CORNER",
"2.102.965.938","BAET",,,"9400","Ninove","Ninove","Graanmarkt","Graanmarkt","38","","",
"2.102.966.037","BAET",,,"2600","Antwerpen","Antwerpen","Roderveldlaan","Roderveldlaan","2","","",
"2.102.966.235","BAET",,,"2000","Antwerpen","Antwerpen","Lange Nieuwstraat","Lange Nieuwstraat","106","","",
"2.102.966.532","BAET",,,"2100","Antwerpen","Antwerpen","Van den Hautelei","Van den Hautelei","171","","",
"2.102.966.631","BAET",,,"2950","Kapellen","Kapellen","Antwerpsesteenweg","Antwerpsesteenweg","19","","",
"2.102.966.928","BAET",,,"2610","Antwerpen","Antwerpen","Bist","Bist","36","","",
"2.102.967.027","BAET",,,"2110","Wijnegem","Wijnegem","Turnhoutsebaan","Turnhoutsebaan","5","","",
"2.102.967.225","BAET",,,"2640","Mortsel","Mortsel","Statielei","Statielei","70","","",
"2.102.967.423","BAET",,,"2850","Boom","Boom","Antwerpsestraat","Antwerpsestraat","11","","",
"2.102.967.522","BAET",,,"6700","Arlon","Arlon","Avenue Jean-Baptiste-Nothomb","Avenue Jean-Baptiste-Nothomb","40","","",
"2.102.967.621","BAET",,,"6700","Arlon","Arlon","Rue Pietro-Ferrero","Rue Pietro-Ferrero","1","","",
