"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0400.699.080","REGO","Frankrijk","France","92100","BOULOGNE BILLANCOURT","BOULOGNE BILLANCOURT","QUAI ALPHONSE LE GALLO","QUAI ALPHONSE LE GALLO","13","","",
"0400.717.391","REGO","Frankrijk","France","","Morevil (Somme)","Morevil (Somme)","Avenue Thiers","Avenue Thiers","31","","",
"0400.736.791","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","Duisburg","Duisburg","Memelstrasse  27-33","Memelstrasse  27-33","","","",
"0400.740.355","REGO","Groot-Brittannië","Grande-Bretagne","","London W.L.","London W.L.","Grosvenor Street 19/20","Grosvenor Street 19/20","","","",
"0400.742.929","REGO","Nederland","Pays-Bas","","Breda (Nederland)","Breda (Nederland)","Jacob Van Lemmetlaan","Jacob Van Lemmetlaan","11","","",
"0400.773.811","REGO","Nederland","Pays-Bas","","Hoogkerk","Hoogkerk","J. De Blockstraat","J. De Blockstraat","81","","",
"0400.788.954","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","Springfield Illinois U.S.A.","Springfield Illinois U.S.A.","","","","","",
"0400.797.763","REGO","Frankrijk","France","","Paris 1","Paris 1","Rue Vivienne","Rue Vivienne","16","","",
"0400.820.529","REGO","Groot-Brittannië","Grande-Bretagne","","London","London","","","","","",
"0400.842.897","REGO","Groot-Brittannië","Grande-Bretagne","","Westmorland, Engeland","Westmorland, Engeland","Castle Mill  Kendall","Castle Mill  Kendall","","","",
"0400.878.531","REGO","Libanon","Liban","","Iran","Iran","","","","","",
"0400.880.412","REGO","Groot-Brittannië","Grande-Bretagne","","Manchester","Manchester","","","","","",
"0400.880.808","REGO","Frankrijk","France","","Paris 8e","Paris 8e","Boulevard Haussmann","Boulevard Haussmann","93","","",
"0400.882.984","REGO","Nederland","Pays-Bas","","Utrecht","Utrecht","Beneluxlaan","Beneluxlaan","9","","",
"0400.883.479","REGO","Frankrijk","France","","Paris 15e","Paris 15e","Avenue du Maine  33  Tour Maine","Avenue du Maine  33  Tour Maine","","","",
"0400.885.459","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","City of Dover","City of Dover","South State Street","South State Street","129","","",
"0400.901.889","REGO","Zwitserland","Suisse","","Genève","Genève","Rue du Stand","Rue du Stand","40","","",
"0400.932.276","REGO","Nederland","Pays-Bas","","Geldermalsen","Geldermalsen","Kostverlorenkade","Kostverlorenkade","13","","",
"0400.953.656","REGO","Nederland","Pays-Bas","","Amsterdam","Amsterdam","Keizergracht","Keizergracht","755","","",
"0400.974.145","REGO","Nederland","Pays-Bas","","Almelo","Almelo","Parallelweg","Parallelweg","2","","",
"0401.019.576","REGO","Frankrijk","France","","Rueil-Malmaison","Rueil-Malmaison","Avenue de Chatou","Avenue de Chatou","44","","",
"0401.020.170","REGO","Congo (Dem. Rep.)","Congo (Rép. dém.)","","Leopoldville","Leopoldville","Tieltersteenweg","Tieltersteenweg","20","","",
"0401.025.615","REGO","Nederland","Pays-Bas","","Klaaswaal","Klaaswaal","Bruggesteenweg","Bruggesteenweg","295","","",
"0401.057.584","REGO","Nederland","Pays-Bas","","Lisse","Lisse","Grevelingenstraat","Grevelingenstraat","60","","",
"0401.073.224","REGO","Zwitserland","Suisse","","Genève","Genève","Rue Etienne Dumont","Rue Etienne Dumont","22","","",
"0401.105.787","REGO","Frankrijk","France","","Anzin","Anzin","","","","","",
"0401.110.638","REGO","Congo (Dem. Rep.)","Congo (Rép. dém.)","","Leopoldville","Leopoldville","Rue du Parc","Rue du Parc","15","","",
"0401.126.078","REGO","Frankrijk","France","","Quievrechain","Quievrechain","rue Jean Jaure&s","rue Jean Jaure&s","2","","",
"0401.139.342","REGO","Frankrijk","France","","Valenciennes","Valenciennes","Rue de Mons","Rue de Mons","26","","",
"0401.147.755","REGO","Frankrijk","France","","Paris 8e","Paris 8e","Rue Murillo","Rue Murillo","24","","",
"0401.157.158","REGO","Frankrijk","France","","Paris","Paris","Rue Jean Goujon","Rue Jean Goujon","25","","",
"0401.204.767","REGO","Verenigde Staten van Amerika","Etats-Unis d'Amérique","","Chicago","Chicago","Diversey Parkway","Diversey Parkway","1826","","",
"0401.218.823","REGO","Frankrijk","France","","Roubaix","Roubaix","Rue de la Poste","Rue de la Poste","10","","",
"0401.227.929","REGO","Frankrijk","France","","Roubaix","Roubaix","Rue de Nancy","Rue de Nancy","66","","",
"0401.243.864","REGO","Frankrijk","France","","Roubaix","Roubaix","Boulevard de Paris","Boulevard de Paris","74","","",
"0401.247.230","REGO","Frankrijk","France","","Mouvaux","Mouvaux","Boulevard Carnot  148bis","Boulevard Carnot  148bis","","","",
"0401.252.871","REGO","Frankrijk","France","","Tourcoing","Tourcoing","Avenue Alfred Lefrançois","Avenue Alfred Lefrançois","13","","",
"0401.257.920","REGO","Frankrijk","France","","Toulouse","Toulouse","Rue Ingres","Rue Ingres","22","","",
"0401.260.888","REGO","Frankrijk","France","","Beauvais","Beauvais","Boulevard St. Jean","Boulevard St. Jean","5","","",
"0401.268.115","REGO","Frankrijk","France","","...","...","","","","","",
"0401.273.360","REGO","Frankrijk","France","","Marcq en Baroeul","Marcq en Baroeul","Rue Nationale","Rue Nationale","115","","",
"0401.298.403","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","50725","Köln-Niehl","Köln-Niehl","Henry Fordstrasse","Henry Fordstrasse","1","","",
"0401.305.430","REGO","Nederland","Pays-Bas","","Gennet","Gennet","Maasweg","Maasweg","63","","",
"0401.309.883","REGO","Nederland","Pays-Bas","","Uden Noordbrabant-Nederland","Uden Noordbrabant-Nederland","Udenseweg","Udenseweg","2","","",
"0401.313.150","REGO","Nederland","Pays-Bas","","Amstenrade","Amstenrade","Hoofdstraat  61/67","Hoofdstraat  61/67","","","",
"0401.321.563","REGO","Nederland","Pays-Bas","","Maastricht","Maastricht","Ankerkade","Ankerkade","78","","",
"0401.327.404","REGO","Nederland","Pays-Bas","","Maastricht","Maastricht","Galjoenweg","Galjoenweg","68","","",
"0401.336.807","REGO","Nederland","Pays-Bas","","Maastricht","Maastricht","Bassin","Bassin","23","","",
"0401.339.874","REGO","Groot-Brittannië","Grande-Bretagne","","London","London","","","","","",
"0401.342.547","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","Dusseldorf-Holthausen","Dusseldorf-Holthausen","Niederheidstrasse","Niederheidstrasse","12","","",
"0401.344.131","REGO","Nederland","Pays-Bas","3430","BM Nieuwegein","BM Nieuwegein","Ringwade","Ringwade","1","","",
"0401.351.356","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","München","München","Bayerstrasse","Bayerstrasse","15","","",
"0401.353.534","REGO","Nederland","Pays-Bas","","Geleen","Geleen","","","","","",
"0401.360.660","REGO","Nederland","Pays-Bas","","'s Hertogenbosch","'s Hertogenbosch","Veemarktkade","Veemarktkade","","","",
"0401.367.093","REGO","Nederland","Pays-Bas","","Valkenswaard","Valkenswaard","Karel Mollenstraat","Karel Mollenstraat","65","","",
"0401.406.388","REGO","Luxemburg (Groot-Hertogdom)","Luxembourg (Grand-Duché)","","Luxembourg","Luxembourg","Fort Elisabeth","Fort Elisabeth","4","","",
"0401.416.286","REGO","Nederland","Pays-Bas","","Middelburg","Middelburg","Place Joséphine Charlotte","Place Joséphine Charlotte","38","","",
"0401.479.832","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","Francfort","Francfort","","","","","",
"0401.511.209","REGO","Monaco /Vorstendom/","Monaco /Principauté/","","Monaco","Monaco","Avenue de Grande Bretagne","Avenue de Grande Bretagne","30","","",
"0401.517.543","REGO","Luxemburg (Groot-Hertogdom)","Luxembourg (Grand-Duché)","","Luxembourg","Luxembourg","rue Pasteur","rue Pasteur","3","","",
"0401.521.107","REGO","Frankrijk","France","","Paris 8e","Paris 8e","Rue de Madrid","Rue de Madrid","7","","",
"0401.544.366","REGO","Frankrijk","France","","Charleville-Mézière","Charleville-Mézière","Rue Ferroul","Rue Ferroul","","","",
"0401.681.255","REGO","Frankrijk","France","","Strasbourg-Meinan","Strasbourg-Meinan","Rue de la Plaine des Bouchers","Rue de la Plaine des Bouchers","80","","",
"0401.681.354","REGO","Frankrijk","France","","Longlaville","Longlaville","Avenue de Luxembourg","Avenue de Luxembourg","2","","",
